type
bus_stop
bus_stop
traffic_signals
traffic_signals
mini_roundabout
traffic_signals
traffic_signals
traffic_signals
motorway_junctio
motorway_junctio
motorway_junctio
motorway_junctio
motorway_junctio
traffic_signals
traffic_signals
traffic_signals
tram_stop
traffic_signals
bus_stop
motorway_junctio
motorway_junctio
motorway_junctio
motorway_junctio
traffic_signals
traffic_signals
motorway_junctio
motorway_junctio
motorway_junctio
motorway_junctio
motorway_junctio
motorway_junctio
motorway_junctio
motorway_junctio
hotel
traffic_signals
fuel
mini_roundabout
traffic_signals
traffic_signals
traffic_signals
traffic_signals
traffic_signals
parking
fuel
traffic_signals
bus_stop
bus_stop
bus_stop
post_office
cinema
traffic_signals
traffic_signals
bus_stop
mini_roundabout
traffic_signals
traffic_signals
traffic_signals
traffic_signals
parking
mini_roundabout
traffic_signals
level_crossing
fuel
stop
level_crossing
bus_stop
crossing
motorway_junctio
motorway_junctio
traffic_signals
traffic_signals
traffic_signals
traffic_signals
crossing
crossing
speed_camera
level_crossing
motorway_junctio
parking
traffic_signals
parking
mini_roundabout
parking
traffic_signals
parking
motorway_junctio
motorway_junctio
motorway_junctio
motorway_junctio
mini_roundabout
traffic_signals
bus_stop
bus_stop
bus_stop
traffic_signals
traffic_signals
motorway_junctio
motorway_junctio
traffic_signals
traffic_signals
tram_stop
traffic_signals
traffic_signals
traffic_signals
fuel
fuel
level_crossing
bus_stop
hotel
hotel
fuel
parking
crossing
fuel
pub
parking
pub
viewpoint
fuel
parking
attraction
parking
tram_stop
crossing
fuel
fast_food
parking
attraction
station
halt
station
station
bus_stop
stop
traffic_signals
traffic_signals
mini_roundabout
mini_roundabout
hotel
motorway_junctio
traffic_signals
mini_roundabout
attraction
parking
bus_stop
traffic_signals
traffic_signals
traffic_signals
traffic_signals
information
parking
mini_roundabout
pub
pub
parking
pub
pub
restaurant
restaurant
parking
parking
fuel
station
station
station
station
station
station
mini_roundabout
mini_roundabout
mini_roundabout
parking
traffic_signals
crossing
motorway_junctio
motorway_junctio
motorway_junctio
traffic_signals
traffic_signals
traffic_signals
traffic_signals
traffic_signals
mini_roundabout
traffic_signals
traffic_signals
parking
traffic_signals
motorway_junctio
motorway_junctio
traffic_signals
traffic_signals
motorway_junctio
traffic_signals
traffic_signals
motorway_junctio
motorway_junctio
motorway_junctio
traffic_signals
traffic_signals
fuel
motorway_junctio
motorway_junctio
motorway_junctio
parking
restaurant
waste_disposal
mini_roundabout
tram_stop
tram_stop
tram_stop
traffic_signals
traffic_signals
traffic_signals
traffic_signals
station
station
station
station
station
station
station
hotel
parking
parking
crossing
traffic_signals
traffic_signals
place_of_worship
station
station
station
car_wash
parking
parking
traffic_signals
parking
castle
place_of_worship
station
turning_circle
motorway_junctio
motorway_junctio
motorway_junctio
motorway_junctio
motorway_junctio
motorway_junctio
motorway_junctio
motorway_junctio
crossing
traffic_signals
traffic_signals
station
station
station
level_crossing
university
motorway_junctio
motorway_junctio
motorway_junctio
motorway_junctio
motorway_junctio
bus_station
recycling
level_crossing
mini_roundabout
pub
viewpoint
viewpoint
fuel
pub
pub
pub
pub
pub
pub
pub
pub
pub
monument
pub
traffic_signals
bus_stop
bus_stop
bus_stop
traffic_signals
traffic_signals
traffic_signals
traffic_signals
traffic_signals
bus_stop
traffic_signals
traffic_signals
traffic_signals
bus_stop
traffic_signals
traffic_signals
traffic_signals
level_crossing
traffic_signals
traffic_signals
traffic_signals
bus_station
bus_stop
traffic_signals
traffic_signals
motorway_junctio
traffic_signals
bus_stop
traffic_signals
traffic_signals
traffic_signals
bus_stop
traffic_signals
motorway_junctio
bus_stop
traffic_signals
traffic_signals
traffic_signals
traffic_signals
motorway_junctio
traffic_signals
bus_stop
traffic_signals
traffic_signals
bus_stop
traffic_signals
traffic_signals
bus_stop
traffic_signals
traffic_signals
bus_stop
bus_stop
traffic_signals
station
traffic_signals
traffic_signals
crossing
bus_stop
bus_stop
traffic_signals
traffic_signals
traffic_signals
bus_stop
traffic_signals
bus_stop
traffic_signals
bus_stop
traffic_signals
bus_stop
traffic_signals
traffic_signals
bus_stop
traffic_signals
traffic_signals
traffic_signals
traffic_signals
traffic_signals
station
traffic_signals
bus_stop
traffic_signals
station
station
station
level_crossing
station
station
station
station
station
station
station
station
station
crossing
station
station
station
station
station
station
station
station
station
station
station
station
station
station
station
bus_stop
traffic_signals
fuel
bus_stop
level_crossing
level_crossing
station
station
level_crossing
level_crossing
tram_stop
memorial
traffic_signals
mini_roundabout
tram_stop
station
university
clocktower
hospital
place_of_worship
school
mini_roundabout
stop
station
station
tram_stop
station
station
station
halt
station
station
level_crossing
station
hospital
place_of_worship
place_of_worship
place_of_worship
place_of_worship
fuel
restaurant
theatre
fuel
bus_station
crossing
traffic_signals
mini_roundabout
mini_roundabout
traffic_signals
traffic_signals
bus_stop
traffic_signals
traffic_signals
traffic_signals
traffic_signals
traffic_signals
restaurant
place_of_worship
place_of_worship
traffic_signals
traffic_signals
traffic_signals
traffic_signals
station
turning_circle
post_office
bus_stop
traffic_signals
fuel
traffic_signals
traffic_signals
traffic_signals
traffic_signals
